"","timestep","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"34",34,0.760277938621888,0.497668997668998,0.51467944877172,0.663230240549828,0.27406103286385,0.507622811970638,0.372871403405755,0.11549793753683,0.109401709401709
"35",35,0.756365740740741,0.494755244755245,0.512574850299401,0.661705781339439,0.271285965942454,0.501128668171558,0.380868544600939,0.113140836770772,0.106674272675414
"36",36,0.759976865240023,0.492433061699651,0.503592814371257,0.668957617411226,0.271873165002936,0.492949802594473,0.380504991192014,0.113797169811321,0.107367218732153
"37",37,0.753329473074696,0.498834498834499,0.509886159376872,0.663230240549828,0.272460364063418,0.498871331828442,0.378156194950088,0.113730111962286,0.106225014277556
"38",38,0.755632582322357,0.486880466472303,0.511084481725584,0.657879656160458,0.268349970640047,0.499153020892151,0.373090481786134,0.112551561579258,0.106225014277556
"39",39,0.746820809248555,0.489225393127548,0.51377245508982,0.662270642201835,0.271285965942454,0.492933860938383,0.370740305522914,0.111962286387743,0.106285714285714
"40",40,0.747976878612717,0.488074461896451,0.509874326750449,0.674311926605505,0.27262044653349,0.4960407239819,0.372871403405755,0.110849056603774,0.103428571428571
"41",41,0.738728323699422,0.491268917345751,0.511655708308428,0.668771526980482,0.272780717225162,0.490683229813665,0.375,0.112094395280236,0.105142857142857
"42",42,0.751445086705202,0.492433061699651,0.504482964734011,0.6592082616179,0.271017048794827,0.487859966120836,0.369348209042866,0.112750885478158,0.104571428571429
"43",43,0.753036437246964,0.481955762514552,0.514046622833234,0.662076878944349,0.268077601410935,0.48448956570784,0.37110980622431,0.109799291617473,0.106225014277556
"44",44,0.740612362796072,0.487179487179487,0.510752688172043,0.664753157290471,0.267175572519084,0.488713318284424,0.368544600938967,0.110324483775811,0.104452054794521
"45",45,0.740462427745665,0.483100233100233,0.512851165570831,0.664945496270797,0.268621700879765,0.486730660643704,0.368328445747801,0.109734513274336,0.104332953249715
"46",46,0.729792147806005,0.479020979020979,0.506865671641791,0.668767908309456,0.270111567821491,0.48361581920904,0.365395894428153,0.107374631268437,0.105533371363377
"47",47,0.740634005763689,0.477246207701284,0.51044776119403,0.657879656160458,0.271285965942454,0.480497456189938,0.36950146627566,0.109144542772861,0.103881278538813
"48",48,0.736175115207373,0.482497082847141,0.517014925373134,0.653868194842407,0.269682726204465,0.479932165065008,0.366568914956012,0.108426635238656,0.103881278538813
"49",49,0.731833910034602,0.478134110787172,0.510739856801909,0.650802752293578,0.26909518213866,0.474279253815715,0.363262910798122,0.106007067137809,0.103762827822121
"50",50,0.734564339296018,0.467365967365967,0.511641791044776,0.650429799426934,0.264550264550265,0.46184284906727,0.365237815619495,0.105480259281084,0.101424501424501
"51",51,0.729682997118156,0.473469387755102,0.515531660692951,0.654044750430293,0.263529411764706,0.470621468926554,0.362089201877934,0.106069534472599,0.103703703703704
"52",52,0.719884726224784,0.46997084548105,0.509264793783622,0.654044750430293,0.265882352941176,0.466365178066704,0.361876832844575,0.106069534472599,0.103703703703704
"53",53,0.716262975778547,0.470553935860058,0.502092050209205,0.657487091222031,0.264861683343143,0.464971751412429,0.36150234741784,0.103062426383981,0.104214123006834
"54",54,0.713379469434833,0.464452214452214,0.505973715651135,0.658060814687321,0.265882352941176,0.465799886941775,0.362301820317088,0.104767510300177,0.102564102564103
"55",55,0.723342939481268,0.465617715617716,0.503584229390681,0.657879656160458,0.265450264861683,0.462450592885375,0.35978835978836,0.103590347263096,0.102110667427268
"56",56,0.719884726224784,0.467676179382644,0.502686567164179,0.64756446991404,0.269140164899882,0.458803611738149,0.357436801881246,0.103062426383981,0.100342075256556
"57",57,0.706559263521289,0.46592894583576,0.501194743130227,0.641833810888252,0.265450264861683,0.45511010728402,0.357436801881246,0.100766057748969,0.102052451539339
