"","timestep","arm1_prev","arm2_prev","arm3_prev","arm4_prev"
"149",149,0.444634703196347,0.399325084364454,0.529723366686286,0.49824355971897
"150",150,0.445838084378563,0.395165823496346,0.537102473498233,0.499122293739029
"151",151,0.432478632478632,0.394263217097863,0.531802120141343,0.494447691408533
"152",152,0.43988603988604,0.391891891891892,0.532077692760447,0.499123319696084
"153",153,0.438746438746439,0.38716938660664,0.530311948204826,0.493863237872589
"154",154,0.434188034188034,0.386606640405177,0.525014714537964,0.5
"155",155,0.433371298405467,0.384572072072072,0.525014714537964,0.498247663551402
"156",156,0.436467236467236,0.385352112676056,0.525603296056504,0.499123319696084
"157",157,0.435327635327635,0.389983117613956,0.516754850088183,0.490643274853801
"158",158,0.440774487471526,0.38132733408324,0.519976498237368,0.492685781158572
"159",159,0.433048433048433,0.382882882882883,0.520282186948854,0.488589818607373
"160",160,0.438996579247434,0.382882882882883,0.519083969465649,0.48711943793911
"161",161,0.434188034188034,0.384572072072072,0.518496770405167,0.488290398126464
"162",162,0.435079726651481,0.377464788732394,0.514973576042278,0.488276670574443
"163",163,0.424501424501425,0.377464788732394,0.51556077510276,0.487390029325513
"164",164,0.42995444191344,0.378591549295775,0.510863182618908,0.49266862170088
"165",165,0.425725668753557,0.380630630630631,0.506462984723854,0.487676056338028
"166",166,0.42865264354747,0.37380550871276,0.508813160987074,0.481807511737089
"167",167,0.422399090392268,0.370224719101124,0.50235017626322,0.485915492957746
"168",168,0.434337691870381,0.373243395165823,0.504985337243402,0.487375220199648
"169",169,0.429140580535003,0.367829021372328,0.509700176366843,0.485328638497653
"170",170,0.440774487471526,0.368184373243395,0.505294117647059,0.47741935483871
"171",171,0.433371298405467,0.360674157303371,0.517667844522968,0.473622508792497
"172",172,0.439954467842914,0.363483146067416,0.515615792575133,0.466002344665885
"173",173,0.435649202733485,0.369308600337268,0.508544490276959,0.473036342321219
"174",174,0.437037037037037,0.366086468276249,0.516489988221437,0.473345049794962
"175",175,0.437037037037037,0.368539325842697,0.515634218289086,0.472759226713532
"176",176,0.438176638176638,0.365730337078652,0.51357733175915,0.469555035128806
"177",177,0.436788154897494,0.362001124227094,0.512987012987013,0.467836257309941
"178",178,0.438496583143508,0.362816901408451,0.511518015357354,0.468147282291058
"179",179,0.434262948207171,0.361894024802706,0.506202008269344,0.455023364485981
"180",180,0.430848036425726,0.35472972972973,0.501182033096927,0.464640561075395
"181",181,0.42743312464428,0.352477477477477,0.500294985250737,0.462302746931619
"182",182,0.43540125213432,0.350788288288288,0.494103773584906,0.45906432748538
"183",183,0.434015927189989,0.352477477477477,0.497345132743363,0.456992393212405
"184",184,0.430848036425726,0.350788288288288,0.493797991730656,0.452520515826495
"185",185,0.433940774487472,0.350620067643743,0.497932663910219,0.448356807511737
"186",186,0.424018212862834,0.351183765501691,0.493790656416322,0.451612903225806
"187",187,0.421830585559977,0.348536036036036,0.491425192193968,0.451669595782074
"188",188,0.42320819112628,0.352841868317389,0.499704316972206,0.453106682297773
"189",189,0.428977272727273,0.349268841394826,0.498224852071006,0.44522554188635
"190",190,0.43287827076223,0.349268841394826,0.499704316972206,0.444379391100703
"191",191,0.43287827076223,0.34814398200225,0.501183431952663,0.439438267992978
"192",192,0.426863972680706,0.347019122609674,0.5,0.43859649122807
"193",193,0.4314171883893,0.343258426966292,0.495266272189349,0.446783625730994
"194",194,0.4314171883893,0.347214406302757,0.486390532544379,0.446198830409357
"195",195,0.424018212862834,0.345894263217098,0.492307692307692,0.437939110070258
"196",196,0.425241614553724,0.345526167698368,0.489059727971614,0.439438267992978
"197",197,0.430358158044343,0.343098591549296,0.483451536643026,0.43826799297835
"198",198,0.428327645051195,0.338963963963964,0.482860520094563,0.435011709601874
"199",199,0.429709732498577,0.339154929577465,0.477232406859846,0.432669789227166
"200",200,0.42995444191344,0.336338028169014,0.476303317535545,0.433918128654971
"201",201,0.43019943019943,0.332018038331454,0.4739336492891,0.428654970760234
"202",202,0.433371298405467,0.333145434047351,0.474245115452931,0.430742255990649
"203",203,0.429140580535003,0.330518018018018,0.471876850207223,0.423481308411215
"204",204,0.432478632478632,0.330140845070423,0.476331360946746,0.420560747663551
