"","arm","cluster","Health_Sub_District","name_1","DIDE_CODE","year","res_1","res_2","LLIN_USE_BASELINE","X3_and_over_net_use_baseline","Predominant_Brand_BASELINE","Nets_Per_person_6m","sleeping_under_net_6m","Nets_Per_person_12m","sleeping_under_net_12m","Nets_Per_person_18m","sleeping_under_net_18m","sleeping_under_net_25m","Net_Type","Distribution_Month","month","days_after_jan_2017","year.1","Prevalence_baseline_2_10_yrs","Number_tested_baseline","Prevalence_6m","Number_tested_6m","Prevalence_12m","Number_tested_12m","Prevalence_18m","Number_tested_18m","Prevalence_25m","dn0_med_2014","rn0_med_2014","gamman_med_2014","dn0_med_2017","rn0_med_2017","gamman_med_2017","seasonal_a0","seasonal_a1","seasonal_b1","seasonal_a2","seasonal_b2","seasonal_a3","seasonal_b3","itn_leave_durMean","eir_est"
"21",2,35,"Igara East","Bushenyi",103252,2017,0.49,0.65,0.968253968,0.459016393,"PermaNet 2.0",0.549586777,0.826446281,0.583673469,0.853061224,0.458498024,0.818181818,0.541,"Olyset Plus","Jul-17",NA,195,2017,0.0307692,65,0.048387097,62,0,68,0,76,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,12.58751256,3.39693276104421
"22",2,39,"Fort-Portal Municipality","Kabarole",103259,2017,0.49,0.65,0.90625,0.75862069,"PermaNet 2.0",0.536290323,0.810483871,0.504166667,0.75,0.382882883,0.612612613,0.562,"Olyset Plus","Jul-17",NA,195,2017,0,90,0,64,0,59,0,55,0.015,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.022943734,-0.137865893,-0.981813387,-2.215396744,-0.821247699,0.22201976,-0.368233259,15,1
"23",2,41,"Rujumbura","Rukungiri",103298,2017,0.49,0.65,1,0.846153846,"PermaNet 2.0",0.503787879,0.901515152,0.547244094,0.649606299,0.632727273,0.865454545,0.802,"Olyset Plus","Jul-17",NA,195,2017,0.1772152,79,0.103448276,58,0,59,0.014705882,68,0.044,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.285988503,0.609958019,-0.246887099,-1.634883576,-0.693913071,-0.019604793,-0.26849525,6.369981954,12.7493392707531
"24",2,42,"Rukungiri Municipality","Rukungiri",103298,2017,0.49,0.65,0.988888889,0,"PermaNet 2.0",0.580786026,0.912663755,0.618644068,0.690677966,0.527196653,0.753138075,0.64,"Olyset Plus","Jul-17",NA,195,2017,0.0140845,71,0,62,0,77,0,73,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.285988503,0.609958019,-0.246887099,-1.634883576,-0.693913071,-0.019604793,-0.26849525,6.532116437,1
"25",2,48,"Kashari","Mbarara",103285,2017,0.49,0.65,0.964705882,0.902439024,"PermaNet 2.0",0.642512077,0.903381643,0.448818898,0.751968504,0.254807692,0.504807692,NA,"Olyset Plus","Jul-17",NA,195,2017,0.0657895,76,0,55,0,67,0,58,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,15,5.94681242722083
"26",2,50,"Rwampara","Mbarara",103285,2017,0.49,0.65,1,0,"PermaNet 2.0",0.444816054,0.899665552,0.569230769,0.807692308,0.346007605,0.600760456,NA,"Olyset Plus","Jul-17",NA,195,2017,0.0394737,76,0.029411765,68,0.014925373,67,0.016949153,59,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,4.164985353,3.80522742007136
"27",2,53,"Buyaga West","Kibale",103270,2017,0.49,0.65,0.976190476,0.707317073,"DawaNet",0.443333333,0.793333333,0.395652174,0.656521739,0.27972028,0.611888112,NA,"Olyset Plus","Jul-17",NA,195,2017,0.3294118,85,0.197368421,76,0.045454545,66,0.138888889,72,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.817740943,-0.726461582,-0.641660125,-1.81789415,-0.42183137,0.299490368,-0.428818572,4.474562367,30.115684251939
"28",2,61,"Ndorwa East","Kabale",103258,2017,0.49,0.65,1,0.042105263,"DawaNet",0.570815451,0.836909871,0.563265306,0.808163265,0.596491228,0.907894737,0.748,"Olyset Plus","Jul-17",NA,195,2017,0,64,0.014084507,71,0,69,0,81,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.257176723,0.716735372,0.235107316,-1.580660175,-0.625648276,-0.052080232,-0.346186227,10.98933578,1
"29",2,68,"Kapelebyong","Katakwi",103268,2017,0.49,0.65,0.775,0.225806452,"PermaNet 2.0",0.447811448,0.861952862,0.412256267,0.688022284,0.345890411,0.688356164,0.399,"Olyset Plus","Jul-17",NA,195,2017,0.2061856,97,0.231707317,82,0.064102564,78,0.102941176,68,0.086,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.587503436,-2.23511804,-0.503535597,-0.334491709,-0.481246962,0.146173849,0.2429014,2.891165822,16.3069826500729
"30",2,80,"Bugweri","Iganga",103256,2017,0.49,0.65,0.9,0.537037037,"PermaNet 2.0",0.498127341,0.93258427,0.46474359,0.740384615,0.397350993,0.721854305,0.405,"Olyset Plus","Jul-17",NA,195,2017,0.4770642,109,0.19047619,84,0.147727273,88,0.290322581,62,0.302,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.23117164,-1.401304782,0.231896847,-1.625879136,-0.920101702,0.261199491,-0.205104992,5.017626948,60.4854800362029
"31",2,87,"Budadiri East","Mbale",103284,2017,0.49,0.65,1,0.814814815,"OlysetNet",0.496268657,0.895522388,0.470817121,0.778210117,0.433962264,0.781132075,0.658,"Olyset Plus","Jul-17",NA,195,2017,0.1153846,78,0.066666667,75,0.012987013,77,0.021505376,93,0.024,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.296696098,-2.195952774,-0.45366556,-0.678362884,-0.828865842,-0.197940387,0.148385755,2.870319851,7.98699298547074
"32",2,93,"Bunya South","Mayuge",103283,2017,0.49,0.65,0.93442623,0.578947368,"PermaNet 2.0",0.40797546,0.917177914,0.476351351,0.800675676,0.416393443,0.757377049,0.575,"Olyset Plus","Jul-17",NA,195,2017,0.6516854,89,0.270588235,85,0.154929577,71,0.28,75,0.477,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.227447359,-0.613602958,0.229699644,-1.828609896,-1.278449238,0.097594433,-0.473211007,15,176.567434279886
"33",3,1,"Ibanda","Mbarara",103285,2017,0.49,0.65,0.987804878,0.691358025,"PermaNet 2.0",0.554166667,0.891666667,0.573991031,0.704035874,0.397540984,0.631147541,0.485,"PermaNet 2.0","Jul-17",NA,195,2017,0.1276596,94,0.063492063,63,0.016666667,60,0.029411765,68,0.136,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,4.787082377,8.04533528687313
"34",3,7,"Isingiro South","Mbarara",103285,2017,0.49,0.65,0.823529412,0.871428571,"PermaNet 2.0",0.5,0.857142857,0.552447552,0.758741259,0.378472222,0.552083333,0.462,"PermaNet 2.0","Jul-17",NA,195,2017,0.1219512,82,0.033333333,60,0.085365854,82,0,60,0.024,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,2.467568391,5.80640694809395
"35",3,10,"Kazo","Mbarara",103285,2017,0.49,0.65,0.858695652,0.873417722,"PermaNet 2.0",0.48540146,0.835766423,0.506944444,0.899305556,0.332,0.616,0.551,"PermaNet 2.0","Jul-17",NA,195,2017,0.1428571,91,0.053333333,75,0.042857143,70,0.042857143,70,0.145,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,3.673189039,7.04384918847696
"36",3,11,"Nyabushozi","Mbarara",103285,2017,0.49,0.65,0.7,0,"OlysetNet",0.496268657,0.884328358,0.478672986,0.668246445,0.361111111,0.658730159,0.309,"PermaNet 2.0","Jul-17",NA,195,2017,0.1058824,85,0.086956522,69,0.1,70,0.044117647,68,0.071,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,14.68272798,7.35964631937353
"37",3,15,"Katerera","Bushenyi",103252,2017,0.49,0.65,0.933333333,0.946428571,"PermaNet 2.0",0.481884058,0.927536232,0.571428571,0.870748299,0.544585987,0.684713376,0.706,"PermaNet 2.0","Jul-17",NA,195,2017,0.1612903,93,0.203389831,59,0.051948052,77,0.09375,96,0.139,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,3.297812147,7.7947973711788
"38",3,16,"Kibaale","Kibale",103270,2017,0.49,0.65,0.961038961,0.472972973,"PermaNet 2.0",0.521568627,0.933333333,0.472222222,0.75,0.304054054,0.533783784,0.5,"PermaNet 2.0","Jul-17",NA,195,2017,0.4197531,81,0.129032258,62,0.14084507,71,0.101123596,89,0.341,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,2.817740943,-0.726461582,-0.641660125,-1.81789415,-0.42183137,0.299490368,-0.428818572,2.657278816,33.7278337137685
"39",3,18,"Kajara","Ntungamo",103294,2017,0.49,0.65,1,0.92,"PermaNet 2.0",0.488970588,0.900735294,0.595744681,0.842553191,0.610714286,0.853571429,0.753,"PermaNet 2.0","Jul-17",NA,195,2017,0.0535714,56,0,62,0.011904762,84,0.012195122,82,0.014,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,1.990519842,0.725628797,-0.010574529,-1.305520532,-0.557125206,-0.074035487,-0.362517578,4.945290193,4.33009801651752
"40",3,21,"Rushenyi","Ntungamo",103294,2017,0.49,0.65,1,0.438596491,"PermaNet 2.0",0.469964664,0.929328622,0.53358209,0.929104478,0.433460076,0.547528517,0.66,"PermaNet 2.0","Jul-17",NA,195,2017,0.0285714,70,0.046153846,65,0,74,0,67,0,0.340918971,0.561704822,2.112342094,0.311403205,0.565691471,1.872272399,1.990519842,0.725628797,-0.010574529,-1.305520532,-0.557125206,-0.074035487,-0.362517578,5.652345727,2.78647128790488
