arm,cluster,Health_Sub_District,name_1,DIDE_CODE,year,res_1,res_2,LLIN_USE_BASELINE,X3_and_over_net_use_baseline,Predominant_Brand_BASELINE,Nets_Per_person_6m,sleeping_under_net_6m,Nets_Per_person_12m,sleeping_under_net_12m,Nets_Per_person_18m,sleeping_under_net_18m,sleeping_under_net_25m,Net_Type,Distribution_Month,month,days_after_jan_2017,year.1,Prevalence_baseline_2_10_yrs,Number_tested_baseline,Prevalence_6m,Number_tested_6m,Prevalence_12m,Number_tested_12m,Prevalence_18m,Number_tested_18m,Prevalence_25m,dn0_med_2014,rn0_med_2014,gamman_med_2014,dn0_med_2017,rn0_med_2017,gamman_med_2017,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_leave_durMean,eir_est
2,41,Rujumbura,Rukungiri,103298,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.1772152,79,0.103448276,58,0,59,0.014705882,68,0.044,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.285988503,0.609958019,-0.246887099,-1.634883576,-0.693913071,-0.019604793,-0.26849525,8.53894555,12.74933927
2,42,Rukungiri Municipality,Rukungiri,103298,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0140845,71,0,62,0,77,0,73,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.285988503,0.609958019,-0.246887099,-1.634883576,-0.693913071,-0.019604793,-0.26849525,8.53894555,1
2,48,Kashari,Mbarara,103285,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0657895,76,0,55,0,67,0,58,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,8.53894555,5.946812427
2,50,Rwampara,Mbarara,103285,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.0394737,76,0.029411765,68,0.014925373,67,0.016949153,59,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,8.53894555,3.80522742
2,53,Buyaga West,Kibale,103270,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.3294118,85,0.197368421,76,0.045454545,66,0.138888889,72,NA,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.817740943,-0.726461582,-0.641660125,-1.81789415,-0.42183137,0.299490368,-0.428818572,8.53894555,30.11568425
2,61,Ndorwa East,Kabale,103258,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0,64,0.014084507,71,0,69,0,81,0,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.257176723,0.716735372,0.235107316,-1.580660175,-0.625648276,-0.052080232,-0.346186227,8.53894555,1
2,68,Kapelebyong,Katakwi,103268,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.2061856,97,0.231707317,82,0.064102564,78,0.102941176,68,0.086,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,2.587503436,-2.23511804,-0.503535597,-0.334491709,-0.481246962,0.146173849,0.2429014,8.53894555,16.30698265
2,80,Bugweri,Iganga,103256,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.4770642,109,0.19047619,84,0.147727273,88,0.290322581,62,0.302,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.23117164,-1.401304782,0.231896847,-1.625879136,-0.920101702,0.261199491,-0.205104992,8.53894555,60.48548004
2,87,Budadiri East,Mbale,103284,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.1153846,78,0.066666667,75,0.012987013,77,0.021505376,93,0.024,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.296696098,-2.195952774,-0.45366556,-0.678362884,-0.828865842,-0.197940387,0.148385755,8.53894555,7.986992985
2,93,Bunya South,Mayuge,103283,2017,0.49,0.65,0.94585784,0.570823822,NA,0.505732184,0.868640445,0.499232928,0.753224099,0.410279025,0.703031771,0.593727273,Olyset Plus,Jul-17,,195,2017,0.6516854,89,0.270588235,85,0.154929577,71,0.28,75,0.477,0.340918971,0.561704822,2.112342094,0.483013286,0.482006596,1.625772453,3.227447359,-0.613602958,0.229699644,-1.828609896,-1.278449238,0.097594433,-0.473211007,8.53894555,176.5674343
