"","clusters","time_point","PREV_OBS","PREV_EST"
"116",102,12,0.169230769,0.299859550561798
"117",103,12,0,0.0161914818725801
"118",4,12,0.104477612,0.305555555555556
"119",9,12,0.347826087,0.313315030885381
"120",22,12,0.108108108,0.167353951890034
"121",23,12,0.303030303,0.291975724881996
"122",24,12,0.0625,0.105746344780687
"123",43,12,0.077669903,0.121584699453552
"124",69,12,0.602040816,0.675157128680119
"125",72,12,0.156626506,0.147814018043026
"126",73,12,0.014084507,0.0505675954592363
"127",74,12,0.364864865,0.418962432915921
"128",75,12,0.283950617,0.491142757902049
"129",76,12,0.285714286,0.472386245224036
"130",77,12,0.0125,0.0559027777777778
"131",78,12,0.308641975,0.667570315147408
"132",79,12,0.395061728,0.42953496627618
"133",80,12,0.147727273,0.26629680998613
"134",81,12,0.024390244,0.0578114246386786
"135",82,12,0.340206186,0.481008287292818
"136",83,12,0.333333333,0.45376121463078
"137",84,12,0.583333333,0.578014184397163
"138",89,12,0.011111111,0.0141034251175285
"139",90,12,0.011235955,0.000338638672536404
"140",91,12,0.408602151,0.490358126721763
"141",92,12,0.398230088,0.587469200985568
"142",93,12,0.154929577,0.51618517229377
"143",94,12,0.417721519,0.609905020352782
"144",96,12,0.010989011,0.000340251786321878
"145",97,12,0.065789474,0.108240223463687
"146",98,12,0.259259259,0.123119972018188
"147",99,12,0.014084507,0.0160782943026914
"148",104,12,0.513513514,0.666905958363245
"149",1,12,0.016666667,0.049680624556423
"150",5,12,0.025316456,0.104410751206065
"151",6,12,0.0125,0.037163314012956
"152",7,12,0.085365854,0.067463106113844
"153",8,12,0.050847458,0.106382978723404
"154",10,12,0.042857143,0.0609670637701472
"155",11,12,0.1,0.0342323651452282
"156",14,12,0.012820513,0.0401801177693107
"157",15,12,0.051948052,0.0701634877384196
"158",16,12,0.14084507,0.235598482235254
"159",17,12,0.158730159,0.178705922629237
"160",18,12,0.011904762,0.0214162348877375
"161",19,12,0.017241379,0.0154639175257732
"162",20,12,0.05,0.0994211780728635
"163",21,12,0,0.0055420852095601
"164",30,12,0.132352941,0.13147691223123
"165",31,12,0.077922078,0.249150237933379
"166",32,12,0.030769231,0.093071354705274
"167",33,12,0,0.00205128205128205
"168",34,12,0.088235294,0.0617667356797792
"169",35,12,0,0.00539265251095383
"170",36,12,0.136363636,0.193706293706294
"171",37,12,0,0.0655737704918033
"172",38,12,0.027027027,0.0616438356164384
"173",39,12,0,0.000353606789250354
"174",40,12,0.026315789,0.00933932895191975
"175",41,12,0,0.0791974656810982
"176",42,12,0,0.00172651933701657
"177",44,12,0.06779661,0.317116477272727
"178",45,12,0.069444444,0.131468531468531
"179",46,12,0.014084507,0.0496527777777778
"180",47,12,0.093333333,0.0717857142857143
"181",51,12,0.169014085,0.20185119259523
"182",52,12,0.289855072,0.242553191489362
"183",55,12,0.294117647,0.106044538706257
"184",56,12,0.01754386,0.0332167832167832
"185",57,12,0.015384615,0
"186",58,12,0,0.00105300105300105
"187",59,12,0,0.00346380325597506
"188",60,12,0,0.000348310693138279
"189",61,12,0,0.000693240901213172
"190",62,12,0,0
"191",63,12,0.016666667,0.000351370344342937
"192",64,12,0,0
"193",65,12,0,0.0055286800276434
"194",66,12,0,0.000340136054421769
"195",2,12,0.078947368,0.136170212765957
"196",3,12,0.1875,0.255670103092783
"197",12,12,0,0.0381181318681319
"198",13,12,0.015384615,0.0141672425708362
"199",25,12,0,0.0045662100456621
"200",26,12,0.022222222,0.0908460471567268
"201",27,12,0.046153846,0.0604908399585206
"202",28,12,0.016666667,0.0511851597389213
"203",29,12,0.014925373,0.0185567010309278
"204",48,12,0,0.0155817174515235
"205",49,12,0,0
"206",50,12,0.014925373,0.0118260869565217
"207",53,12,0.045454545,0.120108880571623
"208",54,12,0.213114754,0.193784916201117
"209",67,18,0.347826087,0.403954802259887
"210",68,18,0.102941176,0.133127994524298
"211",70,18,0.247863248,0.415512465373961
"212",71,18,0.03030303,0.0549374130737135
"213",85,18,0.245098039,0.343671114316625
"214",86,18,0.153061224,0.185010128291695
"215",87,18,0.021505376,0.0572320499479709
"216",88,18,0.025,0.178646196789951
"217",95,18,0.130434783,0.203263086335826
"218",100,18,0.240963855,0.33970792767733
"219",101,18,0.13253012,0.204464918497519
"220",102,18,0.309278351,0.513236851394282
"221",103,18,0,0.0228471001757469
"222",4,18,0.131147541,0.487144790257104
"223",9,18,0.306451613,0.499654696132597
"224",22,18,0.115942029,0.298100172711572
"225",23,18,0.384615385,0.4
"226",24,18,0.068965517,0.186062246278755
"227",43,18,0.053763441,0.200067934782609
"228",69,18,0.434782609,0.74519549370444
"229",72,18,0.092307692,0.213963181660299
"230",73,18,0.029411765,0.0718728403593642
"231",74,18,0.180555556,0.518149466192171
"232",75,18,0.367816092,0.618370883882149
"233",76,18,0.283783784,0.594121763470959
"234",77,18,0.061538462,0.0804037591367908
"235",78,18,0.267605634,0.744193989071038
"236",79,18,0.484848485,0.510325516275814
"237",80,18,0.290322581,0.407076605977327
"238",81,18,0,0.0732803318354649
"239",82,18,0.25,0.60506863780359
"240",83,18,0.347222222,0.564661134163209
"241",84,18,0.488095238,0.691331923890063
"242",89,18,0,0.0207836456558773
"243",90,18,0,0.000334112930170398
"244",91,18,0.390804598,0.563611014290694
"245",92,18,0.393939394,0.686075061381971
"246",93,18,0.28,0.628531566096965
"247",94,18,0.630952381,0.726411903956713
"248",96,18,0,0
"249",97,18,0.0375,0.233050847457627
"250",98,18,0.170731707,0.266947664207938
"251",99,18,0.038961039,0.023109243697479
"252",104,18,0.651685393,0.750537634408602
"253",1,18,0.029411765,0.0681169757489301
"254",5,18,0,0.125389677866297
"255",6,18,0,0.0415107179312691
"256",7,18,0,0.0884831460674157
"257",8,18,0.013888889,0.160267699894329
"258",10,18,0.042857143,0.0760495526496903
"259",11,18,0.044117647,0.0327640292784942
"260",14,18,0.038834951,0.0498281786941581
"261",15,18,0.09375,0.101489435400069
"262",16,18,0.101123596,0.355586302317537
"263",17,18,0.178217822,0.2625
"264",18,18,0.012195122,0.025207182320442
"265",19,18,0,0.0136892539356605
"266",20,18,0.024691358,0.119864176570458
"267",21,18,0,0.00594613501224204
"268",30,18,0.084507042,0.193217944189332
"269",31,18,0.152173913,0.331074212131481
"270",32,18,0.0625,0.135228848821082
"271",33,18,0,0.000683060109289617
"272",34,18,0.115384615,0.0840248962655602
"273",35,18,0,0.0078284547311096
"274",36,18,0.045454545,0.289410141428079
"275",37,18,0,0.107833163784334
"276",38,18,0.014705882,0.0909719820131442
"277",39,18,0,0
"278",40,18,0,0.0118922700244841
"279",41,18,0.014705882,0.105132743362832
"280",42,18,0,0.000344115622849277
"281",44,18,0.234375,0.417640807651435
"282",45,18,0.064935065,0.201401050788091
"283",46,18,0.028985507,0.070242214532872
"284",47,18,0.051282051,0.0785662563359884
"285",51,18,0.098591549,0.288857345635202
"286",52,18,0.295774648,0.3512938674229
"287",55,18,0.236111111,0.16544246239944
"288",56,18,0.015625,0.0507170339279468
"289",57,18,0.013157895,0
"290",58,18,0,0
"291",59,18,0,0.00480604188122211
"292",60,18,0,0
"293",61,18,0,0.000693481276005548
"294",62,18,0,0
"295",63,18,0.014925373,0
"296",64,18,0,0
"297",65,18,0,0.0044750430292599
"298",66,18,0,0.000343170899107756
"299",2,18,0.171428571,0.194247159090909
"300",3,18,0.459183673,0.3898891966759
"301",12,18,0,0.0368600682593857
"302",13,18,0,0.0101647388713635
"303",25,18,0,0.0031634446397188
"304",26,18,0.04,0.101635920640446
"305",27,18,0.047058824,0.0738070717473395
"306",28,18,0.114285714,0.0639110802361931
